Metric,Loose,Tight,Better
Total Return,-2.8%,0.0%,Tight
Annualized Return,-2.3%,0.0%,Tight
Final Value,"972,410","1,000,000",Tight
────────────────────────────,,,
Annualized Vol,1.8%,0.0%,Loose
Sharpe Ratio,-1.31,0.00,Tight
Sortino Ratio,-0.60,0.00,Tight
Max Drawdown,-3.5%,0.0%,Tight
Max DD Duration (days),257,0,Loose
Calmar Ratio,-0.66,0.00,Tight
────────────────────────────,,,
Total Trades,17,0,
Win Rate,35.3%,0.0%,Loose
Avg Win,3.1%,0.0%,Loose
Avg Loss,-4.7%,0.0%,Tight
Profit Factor,0.36,0.00,Loose
Avg PnL %,-1.95%,0.00%,Tight
Expectancy ($),"-1,623",0,Tight
Avg Holding Days,2.2,0.0,
────────────────────────────,,,
Best Trade,6.4%,0.0%,Loose
Worst Trade,-13.4%,0.0%,Tight
Avg Positions,0.1,0.0,
Buy Signals,20,0,
Sell Signals,12651,12756,
