date,portfolio_value,cash,n_positions,positions,n_buys,n_sells
2025-02-03,1000000.0,1000000.0,0,[],1,42
2025-02-04,1000564.4194344925,916585.4181222366,1,['9988.HK'],0,41
2025-02-05,1000478.4207467483,916585.4181222366,1,['9988.HK'],0,42
2025-02-06,1001338.4207467483,916585.4181222366,1,['9988.HK'],0,41
2025-02-07,1000696.9424022366,1000696.9424022366,0,[],0,41
2025-02-10,1000696.9424022366,1000696.9424022366,0,[],0,42
2025-02-11,1000696.9424022366,1000696.9424022366,0,[],1,42
2025-02-12,1006074.5411648441,917370.5392422366,1,['1211.HK'],0,43
2025-02-13,1005394.2255234725,1005394.2255234725,0,[],0,40
2025-02-14,1005394.2255234725,1005394.2255234725,0,[],0,41
2025-02-17,1005394.2255234725,1005394.2255234725,0,[],0,42
2025-02-18,1005394.2255234725,1005394.2255234725,0,[],0,43
2025-02-19,1005394.2255234725,1005394.2255234725,0,[],0,43
2025-02-20,1005394.2255234725,1005394.2255234725,0,[],0,42
2025-02-21,1005394.2255234725,1005394.2255234725,0,[],0,41
2025-02-24,1005394.2255234725,1005394.2255234725,0,[],0,43
2025-02-25,1005394.2255234725,1005394.2255234725,0,[],0,42
2025-02-26,1005394.2255234725,1005394.2255234725,0,[],0,41
2025-02-27,1005394.2255234725,1005394.2255234725,0,[],0,41
2025-02-28,1005394.2255234725,1005394.2255234725,0,[],0,41
2025-03-03,1005394.2255234725,1005394.2255234725,0,[],0,42
2025-03-04,1005394.2255234725,1005394.2255234725,0,[],0,43
2025-03-05,1005394.2255234725,1005394.2255234725,0,[],0,43
2025-03-06,1005394.2255234725,1005394.2255234725,0,[],0,42
2025-03-07,1005394.2255234725,1005394.2255234725,0,[],0,42
2025-03-10,1005394.2255234725,1005394.2255234725,0,[],0,42
2025-03-11,1005394.2255234725,1005394.2255234725,0,[],0,42
2025-03-12,1005394.2255234725,1005394.2255234725,0,[],0,42
2025-03-13,1005394.2255234725,1005394.2255234725,0,[],0,43
2025-03-14,1005394.2255234725,1005394.2255234725,0,[],0,42
2025-03-17,1005394.2255234725,1005394.2255234725,0,[],0,43
2025-03-18,1005394.2255234725,1005394.2255234725,0,[],0,42
2025-03-19,1005394.2255234725,1005394.2255234725,0,[],0,43
2025-03-20,1005394.2255234725,1005394.2255234725,0,[],0,43
2025-03-21,1005394.2255234725,1005394.2255234725,0,[],0,43
2025-03-24,1005394.2255234725,1005394.2255234725,0,[],0,43
2025-03-25,1005394.2255234725,1005394.2255234725,0,[],0,43
2025-03-26,1005394.2255234725,1005394.2255234725,0,[],0,43
2025-03-27,1005394.2255234725,1005394.2255234725,0,[],0,41
2025-03-28,1005394.2255234725,1005394.2255234725,0,[],1,42
2025-03-31,1008037.2708042676,921993.2708042676,1,['3692.HK'],1,42
2025-04-01,1007861.673483711,921993.2708042676,1,['3692.HK'],0,40
