ticker,entry_date,exit_date,entry_price,exit_price,shares,cost_basis,net_proceeds,pnl,pnl_pct,holding_days
9988.HK,2025-02-04,2025-02-07,96.89680305480955,97.902,860,83414.58187776335,84111.52428,696.9424022366438,0.008355162689156087,3
1211.HK,2025-02-12,2025-02-13,110.10999999999999,116.54999745941161,756,83326.40315999999,88023.68628123586,4697.283121235872,0.056372085474712494,1
3692.HK,2025-03-31,2025-04-08,23.72370076370239,20.579400381088256,3512,83400.9547192049,72202.57928424358,-11198.37543496133,-0.13427154968026592,8
9999.HK,2025-06-09,2025-06-11,199.99980305480955,207.1925939025879,416,83283.11798887159,86105.92694441309,2822.8089555415063,0.03389413153237964,2
3692.HK,2025-06-11,2025-06-12,28.878850381851194,28.871099618911742,2885,83398.79883499234,83209.82927815981,-188.969556832526,-0.002265854658247649,1
1177.HK,2025-06-05,2025-06-12,4.684679828166961,4.995,17788,83414.41586821733,88762.20894,5347.7930717826675,0.06411113733903508,7
9866.HK,2025-07-16,2025-07-17,33.38334847259521,31.768199237823485,2496,83408.16262538524,79214.13187230981,-4194.030753075436,-0.05028321714641133,1
9868.HK,2025-08-12,2025-08-13,83.08299999999998,79.87004695129394,1003,83415.58124899998,80029.54743505568,-3386.0338139443047,-0.040592342140934226,1
9868.HK,2025-08-25,2025-08-26,92.89280305480956,90.70920304870606,897,83408.16918450434,81284.78897955465,-2123.380204949688,-0.025457700675009805,1
9866.HK,2025-08-25,2025-08-26,52.6025492362976,48.4515,1584,83405.76042828569,76670.428824,-6735.3316042856895,-0.08075379409887273,1
9888.HK,2025-09-09,2025-09-10,106.2060984725952,105.894,784,83348.84678371716,82937.875104,-410.9716797171568,-0.00493074224270423,1
9868.HK,2025-11-12,2025-11-14,110.91080305480956,102.79710152435302,751,83377.30710725614,77123.42262154433,-6253.884485711809,-0.0750070337204204,2
3692.HK,2025-11-25,2025-11-27,40.340299236297604,41.2986601524353,2065,83386.02064087751,85196.45148156412,1810.430840686604,0.02171144307849479,2
9888.HK,2026-01-05,2026-01-06,145.14499999999998,145.7540939025879,574,83396.54323,83579.18705018537,182.64382018537435,0.0021900646371116306,1
2269.HK,2026-01-14,2026-01-16,39.97993862533569,38.6213398475647,2084,83401.51028729479,80406.3853700825,-2995.1249172122916,-0.035912118460384314,2
1024.HK,2026-01-13,2026-01-16,81.63155305480956,80.76914847564697,1020,83347.44830002166,82302.14691371475,-1045.3013863069064,-0.012541492362719816,3
2269.HK,2026-01-19,2026-01-20,39.599561374664304,37.48248045730591,2104,83400.794609426,78784.27574328947,-4616.518866136525,-0.05535341584880731,1
