Metric,Loose,Tight,Better
Total Return,0.0%,0.0%,Tie
Annualized Return,0.0%,0.0%,Tie
Final Value,"1,000,000","1,000,000",Tie
────────────────────────────,,,
Annualized Vol,0.0%,0.0%,Tie
Sharpe Ratio,0.00,0.00,Tie
Sortino Ratio,0.00,0.00,Tie
Max Drawdown,0.0%,0.0%,Tie
Max DD Duration (days),0,0,Tie
Calmar Ratio,0.00,0.00,Tie
────────────────────────────,,,
Total Trades,0,0,
Win Rate,0.0%,0.0%,Tie
Avg Win,0.0%,0.0%,Tie
Avg Loss,0.0%,0.0%,Tie
Profit Factor,0.00,0.00,Tie
Avg PnL %,0.00%,0.00%,Tie
Expectancy ($),0,0,Tie
Avg Holding Days,0.0,0.0,
────────────────────────────,,,
Best Trade,0.0%,0.0%,Tie
Worst Trade,0.0%,0.0%,Tie
Avg Positions,0.0,0.0,
Buy Signals,0,0,
Sell Signals,0,0,
────────────────────────────,,,
Benchmark Return,-0.9%,-0.9%,
Benchmark Ann. Return,-1.0%,-1.0%,
Benchmark Sharpe,-0.08,-0.08,
Benchmark Max DD,-14.8%,-14.8%,
────────────────────────────,,,
Alpha (Jensen),0.00%,0.00%,Tie
Beta,0.00,0.00,
Tracking Error,12.3%,12.3%,Tie
Information Ratio,0.08,0.08,Tie
