date,portfolio_value,benchmark_value,cash,n_positions,positions,n_buys,n_sells
2025-06-02,1000000.0,1000000.0,1000000.0,0,[],0,124
2025-06-03,1000000.0,993407.719561932,1000000.0,0,[],0,126
2025-06-04,1000000.0,995893.3190800709,1000000.0,0,[],0,125
2025-06-05,1000000.0,1001620.9714681539,1000000.0,0,[],1,121
2025-06-06,998866.289686,1010446.6636625469,917521.289686,1,['COCHINSHIP.NS'],0,125
2025-06-09,999182.1260240752,1013508.6452361303,999182.1260240752,0,[],0,125
2025-06-10,999182.1260240752,1013652.7682334004,999182.1260240752,0,[],0,125
2025-06-11,999182.1260240752,1015381.8044660981,999182.1260240752,0,[],0,126
2025-06-12,999182.1260240752,1004863.1342717343,999182.1260240752,0,[],1,121
2025-06-13,998351.5865946504,998198.8473018493,915771.5547800752,1,['STLTECH.NS'],0,125
2025-06-16,998552.4413085288,1007564.8633189602,998552.4413085288,0,[],1,123
2025-06-17,999228.7309421373,1003566.2471635747,915823.3296970201,1,['CONTROLPR.NS'],0,122
2025-06-18,996189.1321872545,1002305.418288142,915823.3296970201,1,['CONTROLPR.NS'],1,125
2025-06-19,998245.4305530409,1001116.7058781625,913057.5132251601,1,['STLTECH.NS'],1,124
2025-06-20,997393.7107959609,1014048.9690588483,913057.5132251601,1,['STLTECH.NS'],0,126
2025-06-23,996462.4910201598,1011743.4408370698,996462.4910201598,0,[],1,124
2025-06-24,993629.1648986598,1013796.7812970344,913174.6648986598,1,['IDEAFORGE.NS'],2,124
2025-06-25,988369.9985260349,1020929.3855578203,829776.1176666599,2,"['IDEAFORGE.NS', 'LTF.NS']",0,126
2025-06-26,988688.4144546317,1031664.2952149075,988688.4144546317,0,[],0,125
2025-06-27,988688.4144546317,1037319.8311375371,988688.4144546317,0,[],0,125
2025-06-30,988688.4144546317,1032096.554273082,988688.4144546317,0,[],0,126
2025-07-01,988688.4144546317,1033285.2666830614,988688.4144546317,0,[],0,123
2025-07-02,988688.4144546317,1029466.831757673,988688.4144546317,0,[],0,123
2025-07-03,988688.4144546317,1028061.9898186063,988688.4144546317,0,[],0,124
2025-07-04,988688.4144546317,1030655.5441676524,988688.4144546317,0,[],0,126
2025-07-07,988688.4144546317,1030511.5311040184,988688.4144546317,0,[],0,126
2025-07-08,988688.4144546317,1033537.4544448752,988688.4144546317,0,[],0,125
2025-07-09,988688.4144546317,1032060.4960403552,988688.4144546317,0,[],0,126
2025-07-10,988688.4144546317,1027233.4200013478,988688.4144546317,0,[],0,124
2025-07-11,988688.4144546317,1019848.627978748,988688.4144546317,0,[],0,125
2025-07-14,988688.4144546317,1018407.7278069548,988688.4144546317,0,[],0,123
2025-07-15,988688.4144546317,1021938.0266714393,988688.4144546317,0,[],0,125
2025-07-16,988688.4144546317,1021757.9553750786,988688.4144546317,0,[],0,125
2025-07-17,988688.4144546317,1018839.9868651292,988688.4144546317,0,[],2,124
2025-07-18,989826.2904726318,1013796.7812970344,828386.2904726318,2,"['POLYCAB.NS', 'DECCANCE.NS']",1,124
2025-07-21,987662.4164506318,1016786.7563388009,910200.4164506318,1,['POLYCAB.NS'],0,125
2025-07-22,987507.5699126318,1016102.3095188128,987507.5699126318,0,[],0,125
2025-07-23,987507.5699126318,1021361.6446159948,987507.5699126318,0,[],0,124
2025-07-24,987507.5699126318,1016210.3742833564,987507.5699126318,0,[],1,123
2025-07-25,984040.1332356317,1008753.5757289396,904665.1332356317,1,['BORORENEW.NS'],0,123
2025-07-28,984242.6859781939,1003205.9946372174,984242.6859781939,0,[],0,126
2025-07-29,984242.6859781939,1008969.7052580268,984242.6859781939,0,[],1,121
