date,portfolio_value,benchmark_value,cash,n_positions,positions,n_buys,n_sells
2024-06-03,1000000.0,1000000.0,1000000.0,0,[],0,124
2024-06-04,1000000.0,970326.1079793047,1000000.0,0,[],0,123
2024-06-05,1000000.0,973502.7070251191,1000000.0,0,[],0,124
2024-06-06,1000000.0,980010.7746645714,1000000.0,0,[],0,123
2024-06-07,1000000.0,1001084.6779399087,1000000.0,0,[],0,125
2024-06-10,1000000.0,999225.1793767671,1000000.0,0,[],0,125
2024-06-11,1000000.0,1002556.647970405,1000000.0,0,[],0,124
2024-06-12,1000000.0,1004842.3333426333,1000000.0,0,[],0,126
2024-06-13,1000000.0,1008367.4479815651,1000000.0,0,[],0,124
2024-06-14,1000000.0,1009723.3249617082,1000000.0,0,[],0,124
2024-06-18,1000000.0,1013248.5578216688,1000000.0,0,[],0,126
2024-06-19,1000000.0,1012551.2901933764,1000000.0,0,[],0,126
2024-06-20,1000000.0,1013868.3906760493,1000000.0,0,[],0,124
2024-06-21,1000000.0,1010575.5803588527,1000000.0,0,[],0,126
2024-06-24,1000000.0,1013635.9681332852,1000000.0,0,[],0,126
2024-06-25,1000000.0,1021112.5024412642,1000000.0,0,[],0,125
2024-06-26,1000000.0,1026613.4451357485,1000000.0,0,[],0,126
2024-06-27,1000000.0,1034128.7559411977,1000000.0,0,[],0,124
2024-06-28,1000000.0,1036181.9005496331,1000000.0,0,[],0,125
2024-07-01,1000000.0,1039358.3813744187,1000000.0,0,[],0,126
2024-07-02,1000000.0,1042186.346606087,1000000.0,0,[],0,126
2024-07-03,1000000.0,1046835.0339034267,1000000.0,0,[],0,126
2024-07-04,1000000.0,1047997.146617247,1000000.0,0,[],0,126
2024-07-05,1000000.0,1047997.146617247,1000000.0,0,[],0,124
2024-07-08,1000000.0,1046098.9897776641,1000000.0,0,[],0,126
2024-07-09,1000000.0,1051289.9569344437,1000000.0,0,[],0,126
2024-07-10,1000000.0,1049508.0113662425,1000000.0,0,[],0,126
