date,value_Loose,value_Tight,benchmark
2025-06-02,1000000.0,1000000.0,1000000.0
2025-06-03,1000000.0,1000000.0,993407.719561932
2025-06-04,1000000.0,1000000.0,995893.3190800709
2025-06-05,1000000.0,1000000.0,1001620.9714681539
2025-06-06,998866.289686,1000000.0,1010446.6636625469
2025-06-09,999182.1260240752,1000000.0,1013508.6452361303
2025-06-10,999182.1260240752,1000000.0,1013652.7682334004
2025-06-11,999182.1260240752,1000000.0,1015381.8044660981
2025-06-12,999182.1260240752,1000000.0,1004863.1342717343
2025-06-13,998351.5865946504,999169.4605705752,998198.8473018493
2025-06-16,998552.4413085288,999370.3152844536,1007564.8633189602
2025-06-17,999228.7309421373,999370.3152844536,1003566.2471635747
2025-06-18,996189.1321872545,999370.3152844536,1002305.418288142
2025-06-19,998245.4305530409,999370.3152844536,1001116.7058781625
2025-06-20,997393.7107959609,999370.3152844536,1014048.9690588483
2025-06-23,996462.4910201598,999370.3152844536,1011743.4408370698
2025-06-24,993629.1648986598,999370.3152844536,1013796.7812970344
2025-06-25,988369.9985260349,999370.3152844536,1020929.3855578203
2025-06-26,988688.4144546317,999370.3152844536,1031664.2952149075
2025-06-27,988688.4144546317,999370.3152844536,1037319.8311375371
2025-06-30,988688.4144546317,999370.3152844536,1032096.554273082
2025-07-01,988688.4144546317,999370.3152844536,1033285.2666830614
2025-07-02,988688.4144546317,999370.3152844536,1029466.831757673
2025-07-03,988688.4144546317,999370.3152844536,1028061.9898186063
2025-07-04,988688.4144546317,999370.3152844536,1030655.5441676524
2025-07-07,988688.4144546317,999370.3152844536,1030511.5311040184
2025-07-08,988688.4144546317,999370.3152844536,1033537.4544448752
2025-07-09,988688.4144546317,999370.3152844536,1032060.4960403552
2025-07-10,988688.4144546317,999370.3152844536,1027233.4200013478
2025-07-11,988688.4144546317,999370.3152844536,1019848.627978748
2025-07-14,988688.4144546317,999370.3152844536,1018407.7278069548
2025-07-15,988688.4144546317,999370.3152844536,1021938.0266714393
2025-07-16,988688.4144546317,999370.3152844536,1021757.9553750786
2025-07-17,988688.4144546317,999370.3152844536,1018839.9868651292
2025-07-18,989826.2904726318,999370.3152844536,1013796.7812970344
2025-07-21,987662.4164506318,999370.3152844536,1016786.7563388009
2025-07-22,987507.5699126318,999370.3152844536,1016102.3095188128
2025-07-23,987507.5699126318,999370.3152844536,1021361.6446159948
2025-07-24,987507.5699126318,999370.3152844536,1016210.3742833564
2025-07-25,984040.1332356317,999370.3152844536,1008753.5757289396
2025-07-28,984242.6859781939,999370.3152844536,1003205.9946372174
2025-07-29,984242.6859781939,999370.3152844536,1008969.7052580268
2025-07-30,986376.3778631939,999370.3152844536,1009113.8282552972
2025-07-31,985355.7853291509,999596.7360344536,1005979.8401498967
2025-08-01,984535.1332451937,999452.5156844537,999099.4236509246
2025-08-04,984535.1332451937,999452.5156844537,1004502.8817453767
2025-08-05,984535.1332451937,999452.5156844537,1001945.275695421
2025-08-06,984535.1332451937,999452.5156844537,998955.3006536545
2025-08-07,984535.1332451937,999452.5156844537,998883.2941218375
2025-08-08,984535.1332451937,999452.5156844537,991138.3595065167
2025-08-11,984535.1332451937,999452.5156844537,998883.2941218375
2025-08-12,984535.1332451937,999452.5156844537,996181.5650746115
2025-08-13,984535.1332451937,999452.5156844537,1001512.9067036102
2025-08-14,984535.1332451937,999452.5156844537,1002269.4699890518
2025-08-18,984535.1332451937,999452.5156844537,1012500.0041225114
2025-08-19,989022.0027441751,999452.5156844537,1015705.9987597287
2025-08-20,990014.0259985697,999452.5156844537,1017723.2809869666
2025-08-21,989952.1815056568,999452.5156844537,1019668.5566823875
2025-08-22,993209.961882871,999452.5156844537,1011347.2400116221
2025-08-25,994944.2638848241,999452.5156844537,1014697.3576461098
2025-08-26,994567.9100575284,999452.5156844537,1005223.2768644553
2025-08-28,989970.1665878409,999452.5156844537,997586.4070136781
2025-08-29,989705.7042909439,999452.5156844537,994452.4189082776
2025-09-01,989705.7042909439,999452.5156844537,1002089.2887590548
2025-09-02,989705.7042909439,999452.5156844537,1000288.1360609041
2025-09-03,989705.7042909439,999452.5156844537,1004827.0760390074
2025-09-04,984963.2188577408,999452.5156844537,1006195.9696789839
2025-09-05,985242.8784273551,999452.5156844537,1007204.6107926029
2025-09-08,988147.877206652,999452.5156844537,1008609.4527316695
2025-09-09,988017.8784273551,999452.5156844537,1010590.7866598172
2025-09-10,988070.7145523551,999452.5156844537,1015273.7397015543
2025-09-11,988070.7145523551,999452.5156844537,1017759.3392196933
2025-09-12,988070.7145523551,999452.5156844537,1021289.6380841779
2025-09-15,988070.7145523551,999452.5156844537,1019884.6862114748
2025-09-16,988070.7145523551,999452.5156844537,1026260.8371204556
2025-09-17,988070.7145523551,999452.5156844537,1030187.3368103878
2025-09-18,982845.0242040075,999452.5156844537,1032781.0010930703
2025-09-19,982180.2724931664,999452.5156844537,1029899.0908158472
2025-09-22,983790.476143557,999452.5156844537,1024819.8270150259
