ticker,entry_date,exit_date,entry_price,exit_price,shares,cost_basis,net_proceeds,pnl,pnl_pct,holding_days
DRREDDY.NS,2025-06-06,2025-06-09,1296.3950755615233,1326.0726243896484,64,83052.25412077343,84783.77931297656,1731.5251922031312,0.020848623683171457,3
APOLLOHOSP.NS,2025-07-02,2025-07-07,7477.469999999999,7554.9375,11,82334.42217,83021.2081875,686.7860174999951,0.008341420263835138,5
HINDUNILVR.NS,2025-08-28,2025-08-29,2750.7479999999996,2662.135248779297,30,82604.96243999999,79784.19340591553,-2820.7690340844565,-0.03414769465131491,1
EICHERMOT.NS,2025-08-28,2025-09-01,6275.769499999999,6078.915,13,81666.5885035,78946.869105,-2719.7193984999903,-0.03330271838627655,4
ADANIENT.NS,2025-09-23,2025-09-24,2645.2426977539058,2652.345,31,82084.52615400146,82140.47230499999,55.94615099852672,0.0006815675696728068,1
ADANIGREEN.NS,2025-09-24,2025-09-26,1127.126,1081.7671256103515,73,82362.478198,78890.0311693861,-3472.4470286138967,-0.04216054573134758,2
SBIN.NS,2025-09-30,2025-10-03,870.8199622192382,864.2848743896484,95,82810.62430723845,82024.95600394958,-785.6683032888686,-0.009487530251842258,3
JSWSTEEL.NS,2025-09-29,2025-10-03,1131.1299999999999,1144.9538756103516,73,82655.06249,83498.05128663611,842.988796636113,0.010198876768596016,4
AXISBANK.NS,2025-10-07,2025-10-13,1213.2119999999998,1169.829,68,82580.91441599999,79468.823628,-3112.090787999987,-0.03768535151261321,6
TITAN.NS,2025-11-06,2025-11-07,3783.7799999999997,3762.234,22,83326.40315999999,82686.378852,-640.0243079999927,-0.00768093045815315,1
ASIANPAINT.NS,2025-11-07,2025-11-10,2605.5028022460933,2611.186248779297,31,80851.35745649853,80865.82693844604,14.469481947511667,0.0001789639951969497,3
BHARTIARTL.NS,2025-11-06,2025-11-10,2117.115,1993.005,39,82650.052485,77649.46780500001,-5000.584679999985,-0.06050310350265697,4
ASIANPAINT.NS,2025-11-11,2025-11-12,2653.0503022460935,2657.34,31,82326.80392899853,82295.16246,-31.641468998524942,-0.0003843398199426475,1
BHEL.NS,2025-11-12,2025-11-13,285.78549999999996,285.714,291,83246.74408049998,83059.631226,-187.11285449998104,-0.0022476897633262635,1
INDUSINDBK.NS,2025-11-13,2025-11-19,862.8619999999999,849.15,96,82917.58675199997,81436.8816,-1480.7051519999804,-0.0178575524204371,6
HCLTECH.NS,2025-11-20,2025-11-21,1664.2625755615234,1634.364,50,83296.34190685424,81636.4818,-1659.8601068542484,-0.01992716689420022,1
PERSISTENT.NS,2025-11-25,2025-11-26,6427.9214999999995,6398.0955,12,77212.19305799999,76700.36885400001,-511.824203999975,-0.006628800241634176,1
INFY.NS,2025-12-23,2025-12-24,1680.6789999999999,1659.339,49,82435.624271,81226.30338900001,-1209.3208819999854,-0.014669882016353119,1
WIPRO.NS,2025-12-23,2025-12-26,272.272,266.93281219482424,306,83398.547232,81599.7590910846,-1798.7881409153924,-0.021568578837608314,3
COALINDIA.NS,2025-12-24,2025-12-31,404.2037877807617,398.0015939025879,206,83349.24626311974,81906.34001558919,-1442.9062475305545,-0.017311569236937534,7
MARUTI.NS,2025-12-31,2026-01-01,16597.581,16683.3,5,83070.892905,83333.0835,262.19059499999275,0.0031562269987856556,1
NESTLEIND.NS,2026-01-06,2026-01-07,1320.319,1311.1875,63,83263.277097,82522.2076875,-741.0694094999926,-0.008900315185008417,1
NTPC.NS,2026-01-06,2026-01-07,350.2498938903808,349.2004378051758,237,83092.23407687228,82677.74325606684,-414.4908208054403,-0.0049883220184208385,1
BHEL.NS,2026-01-08,2026-01-09,304.2038938903808,278.721,273,83130.71069510604,76014.742167,-7115.968528106037,-0.08559975571729304,1
INDUSINDBK.NS,2026-01-15,2026-01-16,945.4445,944.055,88,83282.315116,82993.76316,-288.5519559999957,-0.0034647446531485744,1
NTPC.NS,2026-01-15,2026-01-16,349.4491061096191,352.2973439025879,238,83252.05614134343,83762.9210809671,510.8649396236724,0.006136364232930627,1
COALINDIA.NS,2026-01-13,2026-01-16,434.43399999999997,431.7678121948242,191,83059.870894,82385.1844770822,-674.6864169178007,-0.008122892675559623,3
ULTRACEMCO.NS,2026-01-19,2026-01-20,12362.349999999999,12212.775,6,74248.2741,73203.37335,-1044.9007500000007,-0.014073064494303185,1
INDUSINDBK.NS,2026-01-19,2026-01-21,948.8979622192381,907.092,87,82636.6768357868,78838.086996,-3798.5898397868004,-0.04596735959427855,2
ABB.NS,2026-02-23,2026-02-24,6096.089999999999,5875.6185,13,79328.41916999998,76306.65745949998,-3021.7617104999954,-0.03809179285451777,1
BHEL.NS,2026-04-15,2026-04-16,291.3110090026855,294.07562512207033,286,83398.26352334283,84021.52315612721,623.2596327843785,0.007473292685643637,1
