Metric,Loose,Tight,Better
Total Return,4.2%,1.1%,Loose
Annualized Return,0.8%,0.2%,Loose
Final Value,"1,041,870","1,010,587",Loose
────────────────────────────,,,
Annualized Vol,1.7%,0.8%,Loose
Sharpe Ratio,0.49,0.27,Loose
Sortino Ratio,0.24,0.05,Loose
Max Drawdown,-2.4%,-1.5%,Tight
Max DD Duration (days),253,670,Tight
Calmar Ratio,0.34,0.15,Loose
────────────────────────────,,,
Total Trades,76,3,
Win Rate,47.4%,66.7%,Tight
Avg Win,4.3%,6.5%,Tight
Avg Loss,-2.6%,-0.3%,Tight
Profit Factor,1.49,37.74,Tight
Avg PnL %,0.66%,4.23%,Tight
Expectancy ($),551,"3,529",Tight
Avg Holding Days,3.3,9.0,
────────────────────────────,,,
Best Trade,18.8%,11.3%,Loose
Worst Trade,-12.1%,-0.3%,Tight
Avg Positions,0.1,0.0,
Buy Signals,105,11,
Sell Signals,78791,79125,
