date,portfolio_value,cash,n_positions,positions,n_buys,n_sells
2021-04-26,1000000.0,1000000.0,0,[],0,63
2021-04-27,1000000.0,1000000.0,0,[],0,63
2021-04-28,1000000.0,1000000.0,0,[],0,63
2021-04-29,1000000.0,1000000.0,0,[],0,63
2021-04-30,1000000.0,1000000.0,0,[],0,63
2021-05-03,1000000.0,1000000.0,0,[],0,63
2021-05-04,1000000.0,1000000.0,0,[],0,63
2021-05-05,1000000.0,1000000.0,0,[],0,63
2021-05-06,1000000.0,1000000.0,0,[],0,63
2021-05-07,1000000.0,1000000.0,0,[],0,63
2021-05-10,1000000.0,1000000.0,0,[],0,63
2021-05-11,1000000.0,1000000.0,0,[],0,63
2021-05-12,1000000.0,1000000.0,0,[],0,63
2021-05-13,1000000.0,1000000.0,0,[],0,63
2021-05-14,1000000.0,1000000.0,0,[],0,63
2021-05-17,1000000.0,1000000.0,0,[],0,63
2021-05-18,1000000.0,1000000.0,0,[],0,63
2021-05-19,1000000.0,1000000.0,0,[],0,63
2021-05-20,1000000.0,1000000.0,0,[],0,63
2021-05-21,1000000.0,1000000.0,0,[],0,63
2021-05-24,1000000.0,1000000.0,0,[],0,63
2021-05-25,1000000.0,1000000.0,0,[],0,63
2021-05-26,1000000.0,1000000.0,0,[],0,62
2021-05-27,1000000.0,1000000.0,0,[],0,63
2021-05-28,1000000.0,1000000.0,0,[],0,63
2021-06-01,1000000.0,1000000.0,0,[],0,63
2021-06-02,1000000.0,1000000.0,0,[],0,63
2021-06-03,1000000.0,1000000.0,0,[],0,63
2021-06-04,1000000.0,1000000.0,0,[],0,63
2021-06-07,1000000.0,1000000.0,0,[],1,57
2021-06-08,999233.3839524379,916715.6229966274,1,['IBB'],1,58
2021-06-09,998908.0607109126,916119.3119697627,1,['HACK'],0,59
2021-06-10,998893.5144909848,998893.5144909848,0,[],0,61
2021-06-11,998893.5144909848,998893.5144909848,0,[],0,60
2021-06-14,998893.5144909848,998893.5144909848,0,[],0,59
2021-06-15,998893.5144909848,998893.5144909848,0,[],0,59
2021-06-16,998893.5144909848,998893.5144909848,0,[],2,54
2021-06-17,1001106.0485212828,832102.250005963,2,"['IGV', 'BOTZ']",2,52
2021-06-18,1001245.085054536,831637.045374055,2,"['IGV', 'USO']",0,51
2021-06-21,1003313.1688481761,831637.045374055,2,"['IGV', 'USO']",1,60
2021-06-22,1003360.6335318696,917419.2567160737,1,['USO'],1,54
2021-06-23,1003763.3013109814,834013.496287788,2,"['USO', 'SKYY']",0,54
2021-06-24,1004439.2565531384,834013.496287788,2,"['USO', 'SKYY']",0,55
2021-06-25,1005111.2916231008,917726.5416231008,1,['USO'],1,58
2021-06-28,1004756.9723497368,921222.2702737786,1,['AIQ'],3,58
2021-06-29,1003241.0834246906,671086.3826037678,4,"['AIQ', 'ARKG', 'UNG', 'TAN']",2,59
2021-06-30,1001908.9863872923,754264.0052090086,3,"['ARKG', 'UNG', 'TAN']",0,60
2021-07-01,999931.6812328957,836543.6409649514,2,"['ARKG', 'TAN']",0,54
2021-07-02,999062.2601513527,836543.6409649514,2,"['ARKG', 'TAN']",0,55
2021-07-06,998774.4634594582,836543.6409649514,2,"['ARKG', 'TAN']",0,63
2021-07-07,999859.1177689877,999859.1177689877,0,[],0,60
2021-07-08,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-09,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-12,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-13,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-14,999859.1177689877,999859.1177689877,0,[],0,62
2021-07-15,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-16,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-19,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-20,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-21,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-22,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-23,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-26,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-27,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-28,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-29,999859.1177689877,999859.1177689877,0,[],0,63
2021-07-30,999859.1177689877,999859.1177689877,0,[],0,63
