date,value_Loose,value_Tight
2021-04-26,1000000.0,1000000.0
2021-04-27,1000000.0,1000000.0
2021-04-28,1000000.0,1000000.0
2021-04-29,1000000.0,1000000.0
2021-04-30,1000000.0,1000000.0
2021-05-03,1000000.0,1000000.0
2021-05-04,1000000.0,1000000.0
2021-05-05,1000000.0,1000000.0
2021-05-06,1000000.0,1000000.0
2021-05-07,1000000.0,1000000.0
2021-05-10,1000000.0,1000000.0
2021-05-11,1000000.0,1000000.0
2021-05-12,1000000.0,1000000.0
2021-05-13,1000000.0,1000000.0
2021-05-14,1000000.0,1000000.0
2021-05-17,1000000.0,1000000.0
2021-05-18,1000000.0,1000000.0
2021-05-19,1000000.0,1000000.0
2021-05-20,1000000.0,1000000.0
2021-05-21,1000000.0,1000000.0
2021-05-24,1000000.0,1000000.0
2021-05-25,1000000.0,1000000.0
2021-05-26,1000000.0,1000000.0
2021-05-27,1000000.0,1000000.0
2021-05-28,1000000.0,1000000.0
2021-06-01,1000000.0,1000000.0
2021-06-02,1000000.0,1000000.0
2021-06-03,1000000.0,1000000.0
2021-06-04,1000000.0,1000000.0
2021-06-07,1000000.0,1000000.0
2021-06-08,999233.3839524379,1000000.0
2021-06-09,998908.0607109126,1000000.0
2021-06-10,998893.5144909848,1000000.0
2021-06-11,998893.5144909848,1000000.0
2021-06-14,998893.5144909848,1000000.0
2021-06-15,998893.5144909848,1000000.0
2021-06-16,998893.5144909848,1000000.0
2021-06-17,1001106.0485212828,1000000.0
2021-06-18,1001245.085054536,1000000.0
2021-06-21,1003313.1688481761,1000000.0
2021-06-22,1003360.6335318696,1000000.0
2021-06-23,1003763.3013109814,1000000.0
2021-06-24,1004439.2565531384,1000000.0
2021-06-25,1005111.2916231008,1000000.0
2021-06-28,1004756.9723497368,1000000.0
2021-06-29,1003241.0834246906,999878.2393154335
2021-06-30,1001908.9863872923,999711.8597495605
2021-07-01,999931.6812328957,999711.8597495605
2021-07-02,999062.2601513527,999711.8597495605
2021-07-06,998774.4634594582,999711.8597495605
2021-07-07,999859.1177689877,999711.8597495605
2021-07-08,999859.1177689877,999711.8597495605
2021-07-09,999859.1177689877,999711.8597495605
2021-07-12,999859.1177689877,999711.8597495605
2021-07-13,999859.1177689877,999711.8597495605
2021-07-14,999859.1177689877,999711.8597495605
2021-07-15,999859.1177689877,999711.8597495605
2021-07-16,999859.1177689877,999711.8597495605
2021-07-19,999859.1177689877,999711.8597495605
2021-07-20,999859.1177689877,999711.8597495605
2021-07-21,999859.1177689877,999711.8597495605
2021-07-22,999859.1177689877,999711.8597495605
2021-07-23,999859.1177689877,999711.8597495605
2021-07-26,999859.1177689877,999711.8597495605
2021-07-27,999859.1177689877,999711.8597495605
2021-07-28,999859.1177689877,999711.8597495605
2021-07-29,999859.1177689877,999711.8597495605
2021-07-30,999859.1177689877,999711.8597495605
2021-08-02,999859.1177689877,999711.8597495605
2021-08-03,999859.1177689877,999711.8597495605
2021-08-04,999859.1177689877,999711.8597495605
2021-08-05,999859.1177689877,999711.8597495605
2021-08-06,999859.1177689877,999711.8597495605
2021-08-09,999859.1177689877,999711.8597495605
2021-08-10,999859.1177689877,999711.8597495605
2021-08-11,999859.1177689877,999711.8597495605
2021-08-12,999859.1177689877,999711.8597495605
2021-08-13,999859.1177689877,999711.8597495605
2021-08-16,999859.1177689877,999711.8597495605
2021-08-17,999859.1177689877,999711.8597495605
2021-08-18,999859.1177689877,999711.8597495605
2021-08-19,999859.1177689877,999711.8597495605
2021-08-20,999859.1177689877,999711.8597495605
2021-08-23,999859.1177689877,999711.8597495605
2021-08-24,999859.1177689877,999711.8597495605
2021-08-25,999859.1177689877,999711.8597495605
2021-08-26,999859.1177689877,999711.8597495605
2021-08-27,999859.1177689877,999711.8597495605
2021-08-30,999859.1177689877,999711.8597495605
2021-08-31,999859.1177689877,999711.8597495605
2021-09-01,1000111.1961918429,999711.8597495605
2021-09-02,999960.9044465946,999711.8597495605
2021-09-03,1001141.2620973515,999711.8597495605
2021-09-07,1000255.7708515915,999711.8597495605
2021-09-08,1000255.7708515915,999711.8597495605
2021-09-09,1002137.1413532584,999711.8597495605
2021-09-10,1001454.5043293326,999711.8597495605
2021-09-13,1004156.4816635856,999711.8597495605
2021-09-14,1004156.4816635856,999711.8597495605
2021-09-15,1004156.4816635856,999711.8597495605
2021-09-16,1004156.4816635856,999711.8597495605
2021-09-17,1004156.4816635856,999711.8597495605
2021-09-20,1004156.4816635856,999711.8597495605
