ticker,entry_date,exit_date,entry_price,exit_price,shares,cost_basis,net_proceeds,pnl,pnl_pct,holding_days
IBB,2021-06-08,2021-06-09,159.38922572326658,158.75109365844727,522,83284.3770033727,82785.20281881976,-499.1741845529468,-0.005993611317194966,1
HACK,2021-06-09,2021-06-10,60.58052045822143,60.25967969512939,1375,83381.51384568452,82774.20252122212,-607.3113244623964,-0.007283524806066212,1
BOTZ,2021-06-17,2021-06-18,34.88985454177856,34.755210914611816,2388,83400.28961841298,82912.44822042892,-487.8413979840552,-0.005849396929148678,1
IGV,2021-06-17,2021-06-22,73.9198466720581,76.19172974395752,1127,83390.97486660889,85782.21134201868,2391.2364754097944,0.028675003251068656,5
SKYY,2021-06-23,2021-06-25,105.2050984725952,105.80409365844727,792,83405.76042828569,83713.04533531275,307.2849070270604,0.0036842168388509745,2
USO,2021-06-18,2021-06-28,47.89784847259521,50.01992969512939,1739,83377.65285233692,86897.67308209019,3520.020229753267,0.04221778989134266,10
AIQ,2021-06-28,2021-06-30,30.620590152740476,30.599369161605836,2721,83401.94443141244,83177.62260524074,-224.32182617169747,-0.002689647438090293,2
UNG,2021-06-29,2021-07-01,52.09204091644286,51.508441371917726,1599,83378.46859881752,82279.63575594274,-1098.8328428747773,-0.013178856140449202,2
TAN,2021-06-29,2021-07-07,91.56147122192382,90.72917969512939,910,83404.25975076263,82480.98996904517,-923.269781717463,-0.011069815672202771,8
ARKG,2021-06-29,2021-07-07,93.14305305480956,90.50939847564698,894,83353.15932043074,80834.48683499117,-2518.6724854395725,-0.03021688087139151,8
FINX,2021-09-01,2021-09-02,51.74168862533569,52.1078398475647,1610,83387.42280547725,83809.72853242459,422.30572694733564,0.005064381566659915,1
UNG,2021-09-02,2021-09-07,64.94487725067138,65.05488274383545,1283,83407.601790124,83381.94914578054,-25.652644343455904,-0.00030755763015468144,5
UNG,2021-09-09,2021-09-13,68.34827877807616,71.68824213409424,1219,83399.86838230531,87300.57919429943,3900.7108119941113,0.046771186665586065,4
URNM,2021-11-04,2021-11-05,49.07402652740478,48.801148475646976,1698,83411.02474057686,82781.48576153693,-629.5389790399349,-0.007547431301772317,1
UNG,2022-01-13,2022-01-14,59.699639389038076,55.784160152435305,1395,83364.27794465583,77741.08450923461,-5623.1934354212135,-0.06745327344110578,1
UNG,2022-04-07,2022-04-12,85.085,93.62628121948242,979,83381.513215,91568.46918455942,8186.955969559422,0.09818670414926724,5
